区分,薬価基準収載医薬品コード,成分名,規格,Unnamed: 4,Unnamed: 5,Unnamed: 6,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
内用薬,1225001F2250,クロルフェネシンカルバミン酸エステル,２５０ｍｇ１錠,局,,,リンラキサー錠２５０ｍｇ,大正製薬,,先発品,○,10.4,,
内用薬,1225001F2285,クロルフェネシンカルバミン酸エステル,２５０ｍｇ１錠,局,,,クロルフェネシンカルバミン酸エステル錠２５０ｍｇ「サワイ」,沢井製薬,後発品,,,8.6,,
内用薬,1225001F2293,クロルフェネシンカルバミン酸エステル,２５０ｍｇ１錠,局,,,クロルフェネシンカルバミン酸エステル錠２５０ｍｇ「ツルハラ」,鶴原製薬,後発品,,,6.5,,
内用薬,1225003D1031,メトカルバモール,９０％１ｇ,,,,ロバキシン顆粒９０％,あすか製薬,,,,12.6,,
内用薬,1229002M1036,ダントロレンナトリウム水和物,２５ｍｇ１カプセル,,,,ダントリウムカプセル２５ｍｇ,オーファンパシフィック,,先発品,,17.6,,
内用薬,1231001F1030,アンベノニウム塩化物,１０ｍｇ１錠,,,,マイテラーゼ錠１０ｍｇ,アルフレッサファーマ,,,,12.1,,
内用薬,1231004B1067,ベタネコール塩化物,５％１ｇ,,,,ベサコリン散５％,アルフレッサファーマ,,,,8.8,,
内用薬,1231008F1032,プロパンテリン臭化物,１５ｍｇ１錠,,,,プロ・バンサイン錠１５ｍｇ,ファイザー,,先発品,,6.1,,
内用薬,1231009F1100,メペンゾラート臭化物,７．５ｍｇ１錠,,,,メペンゾラート臭化物錠７．５ｍｇ「ツルハラ」,鶴原製薬,後発品,,,5.9,,
内用薬,1231013D1083,チキジウム臭化物,２％１ｇ,,,,チキジウム臭化物顆粒２％「ツルハラ」,鶴原製薬,後発品,,,8.2,,
内用薬,1231013M1016,チキジウム臭化物,５ｍｇ１カプセル,,,,チキジウム臭化物５ｍｇカプセル,,★,,,6.1,,
内用薬,1231013M1040,チキジウム臭化物,５ｍｇ１カプセル,,,,チアトンカプセル５ｍｇ,ヴィアトリス製薬,,先発品,,6.1,,
内用薬,1231013M2012,チキジウム臭化物,１０ｍｇ１カプセル,,,,チキジウム臭化物１０ｍｇカプセル,,後発品,,,6.1,,
内用薬,1231013M2179,チキジウム臭化物,１０ｍｇ１カプセル,,,,チアトンカプセル１０ｍｇ,ヴィアトリス製薬,,先発品,○,8.6,,
内用薬,1231013M2217,チキジウム臭化物,１０ｍｇ１カプセル,,,,チキジウム臭化物カプセル１０ｍｇ「サワイ」,沢井製薬,後発品,,,7.6,,
内用薬,1231014F1011,ジスチグミン臭化物,５ｍｇ１錠,局,,,ジスチグミン臭化物錠,,,,,10.4,,
内用薬,1231014F1054,ジスチグミン臭化物,５ｍｇ１錠,局,,,ウブレチド錠５ｍｇ,鳥居薬品,,,,12.9,,
内用薬,1233001B1025,ネオスチグミン臭化物,０．５％１ｇ,,,,ワゴスチグミン散（０．５％）,共和薬品工業,,,,14.1,,
内用薬,1239003F1046,ピリドスチグミン臭化物,６０ｍｇ１錠,,,,メスチノン錠６０ｍｇ,共和薬品工業,,先発品,,16.3,,
内用薬,1242002F1330,ブチルスコポラミン臭化物,１０ｍｇ１錠,,,,ブスコパン錠１０ｍｇ,サノフィ,,,,6.1,,
内用薬,1242002F1381,ブチルスコポラミン臭化物,１０ｍｇ１錠,,,,ブチルスコポラミン臭化物錠１０ｍｇ「ツルハラ」,鶴原製薬,後発品,,,7.3,,
内用薬,1242008X1066,アトロピン硫酸塩水和物,１ｇ,局,,,アトロピン硫酸塩水和物「ホエイ」原末,ヴィアトリス・ヘルスケア,,,,3525.4,,
内用薬,1243001X1010,パパベリン塩酸塩,１ｇ,局,,,パパベリン塩酸塩,,,,,41.8,,
内用薬,1249004F1080,ピペリドレート塩酸塩,５０ｍｇ１錠,,,,ダクチル錠５０ｍｇ,キッセイ薬品工業,,,,9.6,,
内用薬,1249005F1017,チメピジウム臭化物水和物,３０ｍｇ１錠,,,,チメピジウム臭化物３０ｍｇ錠,,後発品,,,5.9,,
内用薬,1249005M1083,チメピジウム臭化物水和物,３０ｍｇ１カプセル,,,,セスデンカプセル３０ｍｇ,ニプロ,,先発品,○,8.9,,
内用薬,1249006F1011,バクロフェン,５ｍｇ１錠,局,,,バクロフェン錠,,,,,10.4,,
内用薬,1249006F2018,バクロフェン,１０ｍｇ１錠,局,,,バクロフェン錠,,,,,16.9,,
内用薬,1249007F1032,フロプロピオン,４０ｍｇ１錠,,,,コスパノン錠４０ｍｇ,エーザイ,,先発品,,6.1,,
内用薬,1249007F2020,フロプロピオン,８０ｍｇ１錠,,,,コスパノン錠８０ｍｇ,エーザイ,,先発品,,6.7,,
内用薬,1249007M1252,フロプロピオン,４０ｍｇ１カプセル,局,,,コスパノンカプセル４０ｍｇ,エーザイ,,先発品,,9.5,,
内用薬,1249008F1215,アフロクアロン,２０ｍｇ１錠,,,,アロフト錠２０ｍｇ,ニプロ,,先発品,,10.2,,
内用薬,1249009D1030,エペリゾン塩酸塩,１０％１ｇ,,,,ミオナール顆粒１０％,エーザイ,,先発品,,25.6,,
内用薬,1249009F1015,エペリゾン塩酸塩,５０ｍｇ１錠,,,,エペリゾン塩酸塩５０ｍｇ錠,,後発品,,,6.1,,
内用薬,1249009F1090,エペリゾン塩酸塩,５０ｍｇ１錠,,,,ミオナール錠５０ｍｇ,エーザイ,,先発品,○,8.6,,
内用薬,1249010D1025,チザニジン塩酸塩,０．２％１ｇ,,,,テルネリン顆粒０．２％,サンファーマ,,先発品,,18.1,,
内用薬,1249010F1018,チザニジン塩酸塩,１ｍｇ１錠,,,,チザニジン塩酸塩１ｍｇ錠,,後発品,,,6.1,,
内用薬,1249010F1026,チザニジン塩酸塩,１ｍｇ１錠,,,,テルネリン錠１ｍｇ,サンファーマ,,先発品,○,8.1,,
内用薬,1249010F1271,チザニジン塩酸塩,１ｍｇ１錠,,,,チザニジン錠１ｍｇ「ＪＧ」,長生堂製薬,★,,,8.9,,
内用薬,1249351B1010,ロートエキス,１ｇ,局,,,ロートエキス散,,,,,7.7,,
内用薬,1249351B1117,ロートエキス,１ｇ,局,,,ロートエキス散〈ハチ〉,東洋製薬化成,,,,9.7,,
内用薬,1290001M1022,タファミジスメグルミン,２０ｍｇ１カプセル,,,,ビンダケルカプセル２０ｍｇ,ファイザー,,先発品,,9716.5,,
内用薬,1290002F1028,アミファンプリジンリン酸塩,１０ｍｇ１錠,,,,ファダプス錠１０ｍｇ,ダイドーファーマ,,先発品,,3848.7,,
内用薬,1319004F1035,ヘレニエン,５ｍｇ１錠,,,,アダプチノール錠５ｍｇ,バイエル薬品,,,,26.4,,
内用薬,1329100F1031,ニコチン酸アミド・パパベリン塩酸塩,１錠,,,,ストミンＡ配合錠,ＮＩＳＳＨＡゾンネボード製薬,,,,6.1,,
内用薬,1331001F1010,ジメンヒドリナート,５０ｍｇ１錠,局,,,ジメンヒドリナート錠,,,,,10.4,,
内用薬,1339001N1039,ｄｌ－イソプレナリン塩酸塩,７．５ｍｇ１カプセル,,,,イソメニールカプセル７．５ｍｇ,科研製薬,,先発品,,8.0,,
内用薬,1339002F1012,ジフェニドール塩酸塩,２５ｍｇ１錠,,,,ジフェニドール塩酸塩２５ｍｇ錠,,後発品,,,5.9,,
内用薬,1339002F1411,ジフェニドール塩酸塩,２５ｍｇ１錠,,,,ジフェニドール塩酸塩錠２５ｍｇ「ＣＨ」,長生堂製薬,後発品,,,6.1,R8.3.31まで,
内用薬,1339002F1438,ジフェニドール塩酸塩,２５ｍｇ１錠,,,,セファドール錠２５ｍｇ,日本新薬,,先発品,○,6.5,,
内用薬,1339005F1016,ベタヒスチンメシル酸塩,６ｍｇ１錠,,,,ベタヒスチンメシル酸塩６ｍｇ錠,,後発品,,,6.3,,
内用薬,1339005F1296,ベタヒスチンメシル酸塩,６ｍｇ１錠,局,,,メリスロン錠６ｍｇ,エーザイ,,先発品,○,9.0,,
内用薬,1339005F2012,ベタヒスチンメシル酸塩,１２ｍｇ１錠,,,,ベタヒスチンメシル酸塩１２ｍｇ錠,,後発品,,,6.6,,
内用薬,1339005F2128,ベタヒスチンメシル酸塩,１２ｍｇ１錠,局,,,メリスロン錠１２ｍｇ,エーザイ,,先発品,○,10.4,,
内用薬,1339100F1038,ジフェンヒドラミン・ジプロフィリン,１錠,,,,トラベルミン配合錠,アルフレッサファーマ,,,,6.1,,
内用薬,1900001G1020,アセノイラミン酸,５００ｍｇ１錠,,,,アセノベル徐放錠５００ｍｇ,ノーベルファーマ,,先発品,,2886.2,,
内用薬,2113003F1014,ジゴキシン,０．２５ｍｇ１錠,局,,,ジゴキシン錠,,,,,10.1,,
内用薬,2113003F2010,ジゴキシン,０．１２５ｍｇ１錠,局,,,ジゴキシン錠,,,,,10.1,,
内用薬,2113003F3025,ジゴキシン,０．０６２５ｍｇ１錠,局,,,ジゴキシン錠０．０６２５「ＫＹＯ」,京都薬品工業,,,,10.1,,
内用薬,2113004B1033,ジゴキシン,０．１％１ｇ,,,,ジゴシン散０．１％,太陽ファルマ,,,,25.9,,
内用薬,2113004S1033,ジゴキシン,０．００５％１０ｍＬ,,,,ジゴシンエリキシル０．０５ｍｇ／ｍＬ,太陽ファルマ,,,,36.9,,
内用薬,2113005F1056,メチルジゴキシン,０．１ｍｇ１錠,,,,メチルジゴキシン錠０．１ｍｇ「ＮＩＧ」,日医工岐阜工場,後発品,,,6.1,,
内用薬,2113005F2028,メチルジゴキシン,０．０５ｍｇ１錠,,,,ラニラピッド錠０．０５ｍｇ,中外製薬,,先発品,,5.9,,
内用薬,2113005F2044,メチルジゴキシン,０．０５ｍｇ１錠,,,,メチルジゴキシン錠０．０５ｍｇ「ＮＩＧ」,日医工岐阜工場,★,,,5.9,,
内用薬,2115001X1015,アミノフィリン水和物,１ｇ,局,,,アミノフィリン水和物,,,,,9.6,,
内用薬,2115002F1057,アミノフィリン水和物,１００ｍｇ１錠,,,,ネオフィリン錠１００ｍｇ,アルフレッサファーマ,,,,6.1,,
内用薬,2115003X1014,安息香酸ナトリウムカフェイン,１ｇ,局,,,安息香酸ナトリウムカフェイン,,,,,7.7,,
内用薬,2115003X1170,安息香酸ナトリウムカフェイン,１ｇ,局,,,安息香酸ナトリウムカフェイン原末「マルイシ」,丸石製薬,,,,8.6,,
内用薬,2115004X1019,カフェイン水和物,１ｇ,局,,,カフェイン水和物,,,,,9.7,,
内用薬,2115009X1011,無水カフェイン,１ｇ,局,,,無水カフェイン,,,,,9.7,,
内用薬,2119001F1019,エチレフリン塩酸塩,５ｍｇ１錠,局,,,エチレフリン塩酸塩錠,,,,,9.4,,
内用薬,2119002G1035,ｄｌ－イソプレナリン塩酸塩,１５ｍｇ１錠,,,,プロタノールＳ錠１５ｍｇ,興和,,,,20.3,,
内用薬,2119003D1173,ユビデカレノン,１％１ｇ,,,,ユビデカレノン顆粒１％「ツルハラ」,鶴原製薬,後発品,,,6.7,,
内用薬,2119003F1093,ユビデカレノン,５ｍｇ１錠,,,,ノイキノン錠５ｍｇ,エーザイ,,先発品,○,8.2,,
内用薬,2119003F2014,ユビデカレノン,１０ｍｇ１錠,,,,ユビデカレノン１０ｍｇ錠,,後発品,,,6.1,,
内用薬,2119003F2332,ユビデカレノン,１０ｍｇ１錠,,,,ノイキノン錠１０ｍｇ,エーザイ,,先発品,○,8.4,,
内用薬,2119003F2340,ユビデカレノン,１０ｍｇ１錠,,,,ノイキノン糖衣錠１０ｍｇ,エーザイ,,先発品,○,8.4,,
内用薬,2119003M1017,ユビデカレノン,５ｍｇ１カプセル,,,,ユビデカレノン５ｍｇカプセル,,後発品,,,6.1,,
内用薬,2119004C1032,デノパミン,５％１ｇ,,,,カルグート細粒５％,田辺ファーマ,,先発品,,203.3,,
内用薬,2119004F1012,デノパミン,５ｍｇ１錠,,,,デノパミン５ｍｇ錠,,後発品,,,11.3,,
内用薬,2119004F1020,デノパミン,５ｍｇ１錠,,,,カルグート錠５,田辺ファーマ,,先発品,○,19.3,,
内用薬,2119004F2019,デノパミン,１０ｍｇ１錠,,,,デノパミン１０ｍｇ錠,,後発品,,,18.6,,
内用薬,2119004F2027,デノパミン,１０ｍｇ１錠,,,,カルグート錠１０,田辺ファーマ,,先発品,○,33.4,,
内用薬,2119006F1020,ピモベンダン,１．２５ｍｇ１錠,,,,ピモベンダン錠１．２５ｍｇ「ＴＥ」,トーアエイヨー,後発品,,,31.9,,
内用薬,2119006F2026,ピモベンダン,２．５ｍｇ１錠,,,,ピモベンダン錠２．５ｍｇ「ＴＥ」,トーアエイヨー,後発品,,,59.6,,
内用薬,2119006F3022,ピモベンダン,０．６２５ｍｇ１錠,,,,ピモベンダン錠０．６２５ｍｇ「ＴＥ」,トーアエイヨー,後発品,,,19.6,,
内用薬,2119007D1031,ドカルパミン,７５％１ｇ,,,,タナドーパ顆粒７５％,田辺ファーマ,,先発品,,249.0,,
内用薬,2121001F1017,プロカインアミド塩酸塩,１２５ｍｇ１錠,局,,,プロカインアミド塩酸塩錠,,,,,10.4,,
内用薬,2121001F2013,プロカインアミド塩酸塩,２５０ｍｇ１錠,局,,,プロカインアミド塩酸塩錠,,,,,10.4,,
内用薬,2122001X1010,キニジン硫酸塩水和物,１ｇ,局,,,キニジン硫酸塩水和物,,,,,93.1,,
内用薬,2122002F1086,キニジン硫酸塩水和物,１００ｍｇ１錠,,,,キニジン硫酸塩錠１００ｍｇ「ＶＴＲＳ」,ヴィアトリス・ヘルスケア,,,,17.7,,
内用薬,2123005C1030,カルテオロール塩酸塩,０．２％１ｇ,,,,小児用ミケラン細粒０．２％,大塚製薬,,先発品,,6.7,,
内用薬,2123005F1010,カルテオロール塩酸塩,５ｍｇ１錠,,,,カルテオロール塩酸塩５ｍｇ錠,,後発品,,,6.1,,
内用薬,2123005F1141,カルテオロール塩酸塩,５ｍｇ１錠,,,,ミケラン錠５ｍｇ,大塚製薬,,先発品,○,9.3,,
内用薬,2123008F1013,プロプラノロール塩酸塩,１０ｍｇ１錠,,,,プロプラノロール塩酸塩１０ｍｇ錠,,後発品,,,6.6,,
内用薬,2123008F1048,プロプラノロール塩酸塩,１０ｍｇ１錠,局,,,インデラル錠１０ｍｇ,太陽ファルマ,,準先発品,○,10.4,,
内用薬,2123011F1015,アテノロール,２５ｍｇ１錠,,,,アテノロール２５ｍｇ錠,,後発品,,,6.1,,
内用薬,2123011F1155,アテノロール,２５ｍｇ１錠,,,,テノーミン錠２５,太陽ファルマ,,先発品,○,8.8,,
内用薬,2123011F2011,アテノロール,５０ｍｇ１錠,,,,アテノロール５０ｍｇ錠,,後発品,,,6.1,,
内用薬,2123011F2437,アテノロール,５０ｍｇ１錠,,,,テノーミン錠５０,太陽ファルマ,,先発品,○,9.3,,
内用薬,2123014F1019,アロチノロール塩酸塩,５ｍｇ１錠,,,,アロチノロール塩酸塩５ｍｇ錠,,後発品,,,6.1,,
内用薬,2123014F1094,アロチノロール塩酸塩,５ｍｇ１錠,,,,アロチノロール塩酸塩錠５ｍｇ「ＤＳＰ」,住友ファーマ,,先発品,○,8.8,,
内用薬,2123014F1116,アロチノロール塩酸塩,５ｍｇ１錠,,,,アロチノロール塩酸塩錠５ｍｇ「サワイ」,沢井製薬,★,,,8.9,,
内用薬,2123014F2015,アロチノロール塩酸塩,１０ｍｇ１錠,,,,アロチノロール塩酸塩１０ｍｇ錠,,後発品,,,7.6,,
内用薬,2123014F2201,アロチノロール塩酸塩,１０ｍｇ１錠,,,,アロチノロール塩酸塩錠１０ｍｇ「ＤＳＰ」,住友ファーマ,,先発品,○,13.2,,
内用薬,2123015F1021,ナドロール,３０ｍｇ１錠,,,,ナディック錠３０ｍｇ,住友ファーマ,,先発品,,36.5,,
内用薬,2123016F1018,ビソプロロールフマル酸塩,２．５ｍｇ１錠,,,,ビソプロロールフマル酸塩２．５ｍｇ錠,,後発品,,,10.4,,
内用薬,2123016F1107,ビソプロロールフマル酸塩,２．５ｍｇ１錠,局,,,メインテート錠２．５ｍｇ,田辺ファーマ,,先発品,○,14.6,,
内用薬,2123016F2014,ビソプロロールフマル酸塩,５ｍｇ１錠,,,,ビソプロロールフマル酸塩５ｍｇ錠,,後発品,,,10.4,,
内用薬,2123016F2189,ビソプロロールフマル酸塩,５ｍｇ１錠,局,,,メインテート錠５ｍｇ,田辺ファーマ,,先発品,○,17.7,,
内用薬,2123016F3010,ビソプロロールフマル酸塩,０．６２５ｍｇ１錠,,,,ビソプロロールフマル酸塩０．６２５ｍｇ錠,,★,,,10.4,,
内用薬,2123016F3037,ビソプロロールフマル酸塩,０．６２５ｍｇ１錠,局,,,メインテート錠０．６２５ｍｇ,田辺ファーマ,,先発品,,10.4,,
内用薬,2129002M1060,ジソピラミド,５０ｍｇ１カプセル,,,,リスモダンカプセル５０ｍｇ,チェプラファーム,,先発品,,20.6,,
内用薬,2129002M2139,ジソピラミド,１００ｍｇ１カプセル,,,,リスモダンカプセル１００ｍｇ,チェプラファーム,,先発品,,31.2,,
内用薬,2129003F1014,メキシレチン塩酸塩,５０ｍｇ１錠,,,,メキシレチン塩酸塩５０ｍｇ錠,,後発品,,,6.1,,
内用薬,2129003F1057,メキシレチン塩酸塩,５０ｍｇ１錠,,,,メキシレチン塩酸塩錠５０ｍｇ「ＫＣＣ」,ネオクリティケア製薬,後発品,,,7.6,,
内用薬,2129003F2010,メキシレチン塩酸塩,１００ｍｇ１錠,,,,メキシレチン塩酸塩１００ｍｇ錠,,後発品,,,6.6,,
内用薬,2129003F2053,メキシレチン塩酸塩,１００ｍｇ１錠,,,,メキシレチン塩酸塩錠１００ｍｇ「ＫＣＣ」,ネオクリティケア製薬,★,,,14.0,,
内用薬,2129003M1013,メキシレチン塩酸塩,５０ｍｇ１カプセル,,,,メキシレチン塩酸塩５０ｍｇカプセル,,後発品,,,6.1,R8.3.31まで,
内用薬,2129003M1021,メキシレチン塩酸塩,５０ｍｇ１カプセル,,,,メキシチールカプセル５０ｍｇ,太陽ファルマ,,先発品,○,8.8,,
内用薬,2129003M1188,メキシレチン塩酸塩,５０ｍｇ１カプセル,,,,メキシレチン塩酸塩カプセル５０ｍｇ「サワイ」,沢井製薬,後発品,,,7.9,,
内用薬,2129003M2010,メキシレチン塩酸塩,１００ｍｇ１カプセル,,,,メキシレチン塩酸塩１００ｍｇカプセル,,後発品,,,6.6,R8.3.31まで,
内用薬,2129003M2028,メキシレチン塩酸塩,１００ｍｇ１カプセル,,,,メキシチールカプセル１００ｍｇ,太陽ファルマ,,先発品,○,13.2,,
内用薬,2129003M2192,メキシレチン塩酸塩,１００ｍｇ１カプセル,,,,メキシレチン塩酸塩カプセル１００ｍｇ「サワイ」,沢井製薬,後発品,,,10.6,,
内用薬,2129004M1018,アプリンジン塩酸塩,１０ｍｇ１カプセル,,,,アプリンジン塩酸塩１０ｍｇカプセル,,後発品,,,12.0,,
内用薬,2129004M1026,アプリンジン塩酸塩,１０ｍｇ１カプセル,局,,,アスペノンカプセル１０,バイエル薬品,,先発品,○,19.8,,
内用薬,2129004M2014,アプリンジン塩酸塩,２０ｍｇ１カプセル,,,,アプリンジン塩酸塩２０ｍｇカプセル,,後発品,,,18.6,,
内用薬,2129004M2022,アプリンジン塩酸塩,２０ｍｇ１カプセル,局,,,アスペノンカプセル２０,バイエル薬品,,先発品,○,30.1,,
内用薬,2129005F1013,リン酸ジソピラミド,１５０ｍｇ１錠,,,,リン酸ジソピラミド１５０ｍｇ徐放錠,,後発品,,,11.8,,
内用薬,2129005F1129,リン酸ジソピラミド,１５０ｍｇ１錠,,,,リスモダンＲ錠１５０ｍｇ,チェプラファーム,,先発品,○,26.8,,
内用薬,2129005F1242,リン酸ジソピラミド,１５０ｍｇ１錠,,,,ジソピラミド徐放錠１５０ｍｇ「ＶＴＲＳ」,ヴィアトリス・ヘルスケア,後発品,,,21.8,,
内用薬,2129006F1018,プロパフェノン塩酸塩,１５０ｍｇ１錠,,,,プロパフェノン塩酸塩１５０ｍｇ錠,,後発品,,,14.2,,
内用薬,2129006F1026,プロパフェノン塩酸塩,１５０ｍｇ１錠,局,,,プロノン錠１５０ｍｇ,トーアエイヨー,,先発品,○,24.2,,
内用薬,2129006F2022,プロパフェノン塩酸塩,１００ｍｇ１錠,局,,,プロノン錠１００ｍｇ,トーアエイヨー,,先発品,○,22.3,,
内用薬,2129006F2057,プロパフェノン塩酸塩,１００ｍｇ１錠,局,,,プロパフェノン塩酸塩錠１００ｍｇ「オーハラ」,大原薬品工業,後発品,,,16.5,,
内用薬,2129007F1012,シベンゾリンコハク酸塩,５０ｍｇ１錠,,,,シベンゾリンコハク酸塩５０ｍｇ錠,,後発品,,,10.4,,
内用薬,2129007F1020,シベンゾリンコハク酸塩,５０ｍｇ１錠,局,,,シベノール錠５０ｍｇ,トーアエイヨー,,先発品,○,17.6,,
内用薬,2129007F2019,シベンゾリンコハク酸塩,１００ｍｇ１錠,,,,シベンゾリンコハク酸塩１００ｍｇ錠,,後発品,,,15.9,,
内用薬,2129007F2027,シベンゾリンコハク酸塩,１００ｍｇ１錠,局,,,シベノール錠１００ｍｇ,トーアエイヨー,,先発品,○,29.3,,
内用薬,2129008M1016,ピルシカイニド塩酸塩水和物,２５ｍｇ１カプセル,,,,ピルシカイニド塩酸塩２５ｍｇカプセル,,後発品,,,11.9,,
内用薬,2129008M1024,ピルシカイニド塩酸塩水和物,２５ｍｇ１カプセル,局,,,サンリズムカプセル２５ｍｇ,第一三共,,先発品,○,21.2,,
内用薬,2129008M2012,ピルシカイニド塩酸塩水和物,５０ｍｇ１カプセル,,,,ピルシカイニド塩酸塩５０ｍｇカプセル,,後発品,,,19.8,,
内用薬,2129008M2020,ピルシカイニド塩酸塩水和物,５０ｍｇ１カプセル,局,,,サンリズムカプセル５０ｍｇ,第一三共,,先発品,○,35.2,,
内用薬,2129009C1023,フレカイニド酢酸塩,１０％１ｇ,,,,タンボコール細粒１０％,エーザイ,,先発品,,90.9,,
内用薬,2129009F1020,フレカイニド酢酸塩,５０ｍｇ１錠,局,,,タンボコール錠５０ｍｇ,エーザイ,,先発品,○,40.5,,
内用薬,2129009F1038,フレカイニド酢酸塩,５０ｍｇ１錠,局,,,フレカイニド酢酸塩錠５０ｍｇ「ＫＯ」,寿製薬,後発品,,,14.4,,
内用薬,2129009F1054,フレカイニド酢酸塩,５０ｍｇ１錠,局,,,フレカイニド酢酸塩錠５０ｍｇ「ＴＥ」,トーアエイヨー,後発品,,,14.4,R8.3.31まで,
内用薬,2129009F1062,フレカイニド酢酸塩,５０ｍｇ１錠,局,,,フレカイニド酢酸塩錠５０ｍｇ「ＶＴＲＳ」,ヴィアトリス・ヘルスケア,後発品,,,14.4,,
内用薬,2129009F2026,フレカイニド酢酸塩,１００ｍｇ１錠,局,,,タンボコール錠１００ｍｇ,エーザイ,,先発品,○,69.3,,
内用薬,2129009F2034,フレカイニド酢酸塩,１００ｍｇ１錠,局,,,フレカイニド酢酸塩錠１００ｍｇ「ＫＯ」,寿製薬,後発品,,,25.0,,
内用薬,2129009F2050,フレカイニド酢酸塩,１００ｍｇ１錠,局,,,フレカイニド酢酸塩錠１００ｍｇ「ＴＥ」,トーアエイヨー,後発品,,,25.0,R8.3.31まで,
内用薬,2129009F2069,フレカイニド酢酸塩,１００ｍｇ１錠,局,,,フレカイニド酢酸塩錠１００ｍｇ「ＶＴＲＳ」,ヴィアトリス・ヘルスケア,後発品,,,25.0,,
内用薬,2129010F1014,アミオダロン塩酸塩,１００ｍｇ１錠,,,,アミオダロン塩酸塩１００ｍｇ錠,,後発品,,,72.0,,
内用薬,2129010F1022,アミオダロン塩酸塩,１００ｍｇ１錠,局,,,アンカロン錠１００,サノフィ,,先発品,○,73.6,,
内用薬,2129010F3025,アミオダロン塩酸塩,５０ｍｇ１錠,局,,,アミオダロン塩酸塩速崩錠５０ｍｇ「ＴＥ」,トーアエイヨー,後発品,,,44.1,,
内用薬,2129011F1035,ベプリジル塩酸塩水和物,５０ｍｇ１錠,,,,ベプリコール錠５０ｍｇ,オルガノン,,先発品,○,33.6,,
内用薬,2129011F1043,ベプリジル塩酸塩水和物,５０ｍｇ１錠,,,,ベプリジル塩酸塩錠５０ｍｇ「ＴＥ」,トーアエイヨー,後発品,,,17.9,,
内用薬,2129011F2031,ベプリジル塩酸塩水和物,１００ｍｇ１錠,,,,ベプリコール錠１００ｍｇ,オルガノン,,先発品,○,63.7,,
内用薬,2129011F2040,ベプリジル塩酸塩水和物,１００ｍｇ１錠,,,,ベプリジル塩酸塩錠１００ｍｇ「ＴＥ」,トーアエイヨー,後発品,,,35.2,,
内用薬,2129012M1020,ピルメノール塩酸塩水和物,５０ｍｇ１カプセル,,,,ピメノールカプセル５０ｍｇ,ファイザー,,先発品,,39.2,,
内用薬,2129012M2027,ピルメノール塩酸塩水和物,１００ｍｇ１カプセル,,,,ピメノールカプセル１００ｍｇ,ファイザー,,先発品,,70.0,,
内用薬,2129013F1026,ソタロール塩酸塩,４０ｍｇ１錠,,,,ソタコール錠４０ｍｇ,サンドファーマ,,先発品,○,108.2,R8.3.31まで,
内用薬,2129013F1034,ソタロール塩酸塩,４０ｍｇ１錠,,,,ソタロール塩酸塩錠４０ｍｇ「ＴＥ」,トーアエイヨー,後発品,,,33.0,,
内用薬,2129013F2014,ソタロール塩酸塩,８０ｍｇ１錠,,,,ソタロール塩酸塩８０ｍｇ錠,,後発品,,,60.3,,
内用薬,2129013F2022,ソタロール塩酸塩,８０ｍｇ１錠,,,,ソタコール錠８０ｍｇ,サンドファーマ,,先発品,○,202.3,R8.3.31まで,
内用薬,2132003F1010,トリクロルメチアジド,２ｍｇ１錠,,,,トリクロルメチアジド２ｍｇ錠,,後発品,,,6.4,,
内用薬,2132003F1257,トリクロルメチアジド,２ｍｇ１錠,局,,,フルイトラン錠２ｍｇ,シオノギファーマ,,準先発品,○,10.1,,
内用薬,2132003F3012,トリクロルメチアジド,１ｍｇ１錠,,,,トリクロルメチアジド１ｍｇ錠,,後発品,,,6.4,,
内用薬,2132003F3039,トリクロルメチアジド,１ｍｇ１錠,局,,,フルイトラン錠１ｍｇ,シオノギファーマ,,準先発品,○,10.1,,
内用薬,2132004F1103,ヒドロクロロチアジド,２５ｍｇ１錠,,,,ヒドロクロロチアジド錠２５ｍｇ「トーワ」,東和薬品,後発品,,,5.9,,
内用薬,2132004F2037,ヒドロクロロチアジド,１２．５ｍｇ１錠,,,,ヒドロクロロチアジド錠１２．５ｍｇ「トーワ」,東和薬品,後発品,,,5.9,,
内用薬,2132004F3025,ヒドロクロロチアジド,１２．５ｍｇ１錠,,,,ヒドロクロロチアジドＯＤ錠１２．５ｍｇ「トーワ」,東和薬品,後発品,,,5.9,R8.3.31まで,
内用薬,2133001C1097,スピロノラクトン,１０％１ｇ,,,,アルダクトンＡ細粒１０％,ファイザー,,,,49.1,,
内用薬,2133001F1018,スピロノラクトン,２５ｍｇ１錠,,,,スピロノラクトン２５ｍｇ錠,,後発品,,,5.9,,
内用薬,2133001F1522,スピロノラクトン,２５ｍｇ１錠,局,,,アルダクトンＡ錠２５ｍｇ,ファイザー,,準先発品,○,13.1,,
内用薬,2133001F1620,スピロノラクトン,２５ｍｇ１錠,局,,,スピロノラクトン錠２５ｍｇ「ＣＨ」,長生堂製薬,後発品,,,10.4,,
内用薬,2133001F2057,スピロノラクトン,５０ｍｇ１錠,局,,,アルダクトンＡ錠５０ｍｇ,ファイザー,,準先発品,○,27.2,,
内用薬,2133001F2197,スピロノラクトン,５０ｍｇ１錠,局,,,スピロノラクトン錠５０ｍｇ「ＣＨ」,長生堂製薬,後発品,,,7.8,R8.3.31まで,
